No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed
392,SHIP DIALOG,Dublin City,O'Devaney Gardens - SH from Mixed Tenure Project,115,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
393,SHIP DIALOG,Dublin City,O'Devaney Gardens - SH from Mixed Tenure Project,124,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
394,SHIP CONSTRUCTION TURNKEY,Dublin City,88-89 Drimnagh Road Dublin 12,24,*N/A,,,,"Stage 4 approved Q4-2020, the scheme is fully approved.",,
395,SHIP CONSTRUCTION TURNKEY,Dublin City,"St. Pancras, Harolds Cross, Dublin 6",4,*N/A,,,,,,Q2-2021
396,SHIP CONSTRUCTION DESIGN BUILD,Dublin City,"Belcamp B, Dublin 17",12,*N/A,,"Stage 2 approved Q3-2020, full design/tender being prepared.",,,,
397,SHIP CONSTRUCTION DESIGN BUILD,Dublin City,Bunratty Road,78,*N/A,,,,,Q4-2019,
398,SHIP CONSTRUCTION DESIGN BUILD,Dublin City,Bonham Street Dublin  8 ,57,*N/A,,,,,Q4-2019,
399,SHIP CONSTRUCTION DESIGN BUILD,Dublin City,Cork Street/Chamber Street Dublin 8,55,*N/A,,,,,Q1-2020,
400,SHIP CONSTRUCTION DESIGN BUILD,Dublin City,Springvale Chapelizod Dublin 8,71,*N/A,,,,,Q1-2020,
401,SHIP CONSTRUCTION DESIGN BUILD,Dublin City,"Cromcastle & Woodville, Coolock, Dublin 5",156,*N/A,"Stage 1 approved Q1-2021, outline design and costs being prepared.",,,,,
402,SHIP CONSTRUCTION DESIGN BUILD,Dublin City,"Crumlin Road - Rafters Lane, Dublin 12",47,*N/A,"Stage 1 approved Q4-2020, outline design and costs being prepared.",,,,,
403,SHIP CONSTRUCTION DESIGN BUILD,Dublin City,"St. Andrews Court, Dublin 2",37,*N/A,"Stage 1 approved Q4-2020, outline design and costs being prepared.",,,,,
404,SHIP CONSTRUCTION,Dublin City,"Cornamona, Ballyfermot, Dublin 12",61,*N/A,,,,,Q2-2019,
405,SHIP CONSTRUCTION,Dublin City,"Infirmary Road, Dublin 7",38,*N/A,,,"Stage 3 approved Q2-2022, the scheme is now approved to proceed to tender.",,,
406,SHIP CONSTRUCTION,Dublin City,"North King Street, - Sean Foster Place, Dublin 7",30,*N/A,,,,,Q2-2019,
407,SHIP CONSTRUCTION,Dublin City,"St. Finbar's Court, Kilkieran Road, Dublin 7",46,*N/A,,,"Stage 3 approved Q4-2021, the scheme is now approved to proceed to tender.",,,
408,SHIP CONSTRUCTION,Dublin City,Dominick Street (East side),72,*N/A,,,,,Q1-2018,
409,SHIP CONSTRUCTION,Dublin City,O'Devaney Gardens - Phase 1A,56,*N/A,,,,,Q3-2018,
410,SHIP CONSTRUCTION,Dublin City,"Glin Court, Coolock, Dublin 17",32,*N/A,,,"Stage 3 approved Q1-2022, the scheme is now approved to proceed to tender.",,,
411,SHIP CONSTRUCTION,Dublin City,Kildonan Road,75,*N/A,"Stage 1 approved Q2-2020, outline design and costs being prepared.",,,,,
412,SHIP CONSTRUCTION,Dublin City,Lands at Emmet Road,117,*N/A,"Stage 1 approved Q2-2020, outline design and costs being prepared.",,,,,
413,SHIP CONSTRUCTION,Dublin City,"St. Anne's Court, All Saints Drive, Raheny, Dublin 5",102,*N/A,"Stage 1 approved Q2-2021, outline design and costs being prepared.",,,,,
414,REGENERATION,Dublin City,Dolphin House Phase 1b,35,*N/A,"Stage 1 approved Q4-2019, outline design and costs being prepared.",,,,,
415,REGENERATION,Dublin City,"Dorset Street, Dublin 7",163,*N/A,,"Stage 2 approved Q1-2022, full design/tender being prepared.",,,,
416,REGENERATION,Dublin City,Matt Talbot Court,92,*N/A,"Stage 1 approved Q3-2020, outline design and costs being prepared.",,,,,
417,REGENERATION,Dublin City,Constitution Hill Dublin 7,130,*N/A,"Stage 1 approved Q2-2020, outline design and costs being prepared.",,,,,
418,REGENERATION,Dublin City,"Pearse House, Sandwith Street Lower, Dublin 2 (Blocks L,M,N &P)",75,*N/A,"Stage 1 approved Q2-2021, outline design and costs being prepared.",,,,,
419,REGENERATION,Dublin City,Bluebell Phase 1A,140,*N/A,"Stage 1 approved Q2-2021, outline design and costs being prepared.",,,,,
420,REGENERATION,Dublin City,"Liberties Cluster Phase 1, School Street, The Liberties, Dublin 8",115,*N/A,"Stage 1 approved Q3-2021, outline design and costs being prepared.",,,,,
421,REGENERATION,Dublin City,"Oliver Bond House, Oliver Bond Street, Dublin 8",48,*N/A,"Stage 1 approved Q1-2022, outline design and costs being prepared.",,,,,
422,REGENERATION,Dublin City,"Glovers Court, York Street, Dublin 2",49,N/A,"Stage 1 approved Q2-2022, outline design and costs being prepared.",,,,,
423,CAS CONSTRUCTION TURNKEY,Dublin City,"Block 70, The Plaza, Parkwest, Dublin 12 ",43,Túath Housing Association Ltd,,,,,,Q2-2022
424,CAS CONSTRUCTION TURNKEY,Dublin City,"Abbottstown Avenue, Finglas West, Dublin 11 ",4,North ? East Housing Association Ltd,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,
425,CAS CONSTRUCTION SINGLE STAGE,Dublin City,"61 & 63 Rathoath Avenue, Finglas, Dublin 11",6,Arlington Novas Ireland Ltd,,,,,Q4-2020,
426,CAS CONSTRUCTION SINGLE STAGE,Dublin City,"88 Lower Drumcondra Road, Dublin 9 ",6,Peter McVerry Trust Ltd,,,,,Q4-2021,
427,CAS CONSTRUCTION RENEWAL,Dublin City,"8 North Frederick Street, Dublin 1",12,Peter McVerry Trust Ltd,,,,,,Q4-2021
428,CAS CONSTRUCTION RENEWAL,Dublin City,"190 -192 Moore Haven, Drumcondra Road Upper, Dublin 9.",8,DePaul Housing,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
429,CAS CONSTRUCTION,Dublin City,"Ellis Court, Dublin",22,Túath Housing Association Ltd,,,,,Q3-2019,
430,CAS CONSTRUCTION,Dublin City,"180-187 Townsend Street, Dublin 2",20,Peter McVerry Trust Ltd,,,"Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.",,,
431,CAS CONSTRUCTION,Dublin City,"26 New Street South, Dublin 8",8,Peter McVerry Trust Ltd,,,,,,Q1-2021
432,CAS CONSTRUCTION,Dublin City,"55B Arbour Hill, Dublin 7",14,Simon Community : Dublin Simon,,,"Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.",,,
433,CAS CONSTRUCTION,Dublin City,"St. Michael's Estate, Inchicore, Dublin 8 - Housing Pilot Project ",52,Circle Voluntary Housing Association Ltd,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
434,CAS CONSTRUCTION,Dublin City,"Shaw Street, Dublin 2",12,Peter McVerry Trust Ltd,,,"Stage 3 approved Q3-2021, the scheme is now approved to proceed to tender.",,,
435,CAS CONSTRUCTION,Dublin City,"13A Casement Drive, Finglas, Dublin 11",2,Arlington Novas Ireland Ltd,,,,,Q4-2021,
436,CAS CONSTRUCTION,Dublin City,"Sarsfield Road, Ballyfermot, Dublin 10",6,Respond,,"Stage 2 approved Q1-2022, full design/tender being prepared.",,,,
437,CAS CONSTRUCTION,Dublin City,25-26 Ushers Island Ushers Quay Dublin 8,0,Simon Community : Dublin Simon,,,,,Q4-2021,
438,CAS CONSTRUCTION,Dublin City,"Barnamore Grove, Finglas, Dublin 11",2,Arlington Novas Ireland Ltd,,,"Stage 3 approved Q4-2021, the scheme is now approved to proceed to tender.",,,
439,CAS CONSTRUCTION,Dublin City,"5-7 Halston Street, Dublin 7",12,Peter McVerry Trust Ltd,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,
440,CAS CONSTRUCTION,Dublin City,"307a Casement Road, Finglas, Co. Dublin ",1,Arlington Novas Ireland Ltd,,,"Stage 3 approved Q2-2022, the scheme is now approved to proceed to tender.",,,
441,SHIP CONSTRUCTION TURNKEY,Dublin City,"Core 4, Block 4 Charlemont Square, Dublin 2",15,*N/A,,,,,,Q2-2022
442,CALF Turnkey,Dublin City,"15 Richmond Avenue, Dublin 3 (Phase 1)",35,Focus Housing Association CLG,,,,Q1-2022,,
443,CALF Turnkey,Dublin City,"25-27 Bow Lane West, Dublin 8 (Phase 1)",27,Focus Housing Association CLG,,,,Q1-2022,,
444,CALF Turnkey,Dublin City,"Aughrim Street, Stoneybatter, Dublin 7 (Phase 1)",4,Clanmil Housing Association Ireland,,,,,,Q2-2021
445,CALF Construction,Dublin City,"Bethany House, Gilford Road, Sandymount, Dublin 4 (Phase 1)",62,Clúid Housing,,,,,Q4-2021,
446,CALF Turnkey,Dublin City,"Blackbanks Vie5w, 754 Howth Road, Raheny, Dublin  (Phase 1)*",40,Clúid Housing,,,,,,Q1-2021
447,CALF Turnkey,Dublin City,"Bluebell Avenue, Bluebell, Dublin 12 (Phase 1)*",52,Respond,,,,,,Q2-2022
448,CALF Turnkey,Dublin City,"Camac Park, Bluebell, Dublin 12 (Phase 1)",3,Tuath Housing Association,,,,,,Q4-2021
449,CALF Turnkey,Dublin City,"Chanel Manor Apartments, Coolock, Dublin 5. (Phase 1)*",65,Respond,,,,,Q2-2019,
450,CALF Turnkey,Dublin City,"Chanel Manor, Coolock, Dublin 5 (Phase 1)*",22,Respond,,,,,Q4-2020,
451,CALF Turnkey,Dublin City,"Charlemont Gate, Griffith Avenue, Dublin 9 (Phase 1)*",35,Clúid Housing,,,,,,Q2-2022
452,CALF Turnkey,Dublin City,"Clonshaugh Road, Clonshaugh, Dublin 17 (Phase 1)",9,North and East Housing Association CLG,,,,,Q4-2021,
453,CALF Turnkey,Dublin City,"Connaught Street, Phibsborough, Dublin 7 (Phase 1)",20,Focus Housing Association CLG,,,,,Q2-2021,
454,CALF Turnkey,Dublin City,"Donnybrook Gardens, Lands of Greenfield Park, Donnybrook, Dublin 4 (Phase 1)*",4,RHD Housing,,,,,,Q2-2021
455,CALF Turnkey,Dublin City,"Elanora Court, Long Mile Road, Walkinstown, Dublin 12 (Phase 1)*",153,Respond,,,,,Q3-2020,
456,CALF Turnkey,Dublin City,Newtown Cottages Malahide Road Coolock Dublin 17 (Phase 1),3,Clanmil Housing Association Ireland,,,,,Q3-2020,
457,CALF Construction,Dublin City,"North Great Charles Street, Dublin 1 (Phase 1)",52,Clúid Housing,,,,Q4-2021,,
458,CALF Construction,Dublin City,"North King Street, Dublin 7  (Phase 1)",30,Co - Operative Housing Ireland Society Limited,,,,,Q4-2019,
459,CALF Turnkey,Dublin City,"Park West Campus, Kileen Road, Dublin 12 (Phase 1)",43,Tuath Housing Association,,,,,,Q2-2022
460,CALF Construction,Dublin City,"Railway Street, Dublin 1
 (Phase 1)",47,Circle Voluntary Housing Association Ltd,,,,Q2-2022,,
461,CALF Turnkey,Dublin City,"Ravensdale Court, Kimmage, Dublin 12. (Phase 1)",12,Tuath Housing Association,,,,,,Q2-2022
462,CALF Construction,Dublin City,"Sean Mc Dermott Street, Dublin 1 (Phase 1)",8,Simon Community: Dublin Simon,,,,Q1-2022,,
463,CALF Turnkey,Dublin City,"St Canice’s Hall, Ballygall Road West, Finglas, Dublin 11 (Phase 1)*",32,Co - Operative Housing Ireland Society Limited,,,,,,Q2-2021
464,PUBLIC PRIVATE PARTNERSHIP (Bundle 1),Dublin City,"Ayrfield, Malahide Road",150,*N/A,,,,,,Q2-2021
465,PUBLIC PRIVATE PARTNERSHIP (Bundle 3),Dublin City,"Ready Mix Site, East Wall, Dublin 3",68,*N/A,,Q4-2021,,,,
466,PUBLIC PRIVATE PARTNERSHIP (Bundle 3),Dublin City,"Shangan Road, Ballymun, Dublin 9*",93,*N/A,,Q4-2021,,,,
467,PUBLIC PRIVATE PARTNERSHIP (Bundle 3),Dublin City,"Collins Avenue, Whitehall, Dublin 9",83,*N/A,,Q4-2021,,,,
468,SHIP DIALOG,Fingal,"Killhedge Lane, Dun Emer, Lusk",7,*N/A,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,
469,SHIP DIALOG,Fingal,"Ballymastone, Donabate",30,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,
470,SHIP DIALOG,Fingal,"Ballymastone, Donabate",40,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,
471,SHIP DIALOG,Fingal,"Ballymastone, Donabate",40,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,
472,SHIP DIALOG,Fingal,"Ballymastone, Donabate",30,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,
473,SHIP CONSTRUCTION SINGLE STAGE,Fingal,"Outlands, Rathbeale Road, Swords",11,*N/A,,,,,Q1-2022,
474,SHIP CONSTRUCTION,Fingal,"Tucketts Lane, Howth",8,*N/A,,,"Stage 3 approved Q3-2020, the scheme is now approved to proceed to tender.",,,
475,SHIP CONSTRUCTION,Fingal,Wellview,20,*N/A,,,,,Q3-2020,
476,SHIP CONSTRUCTION,Fingal,"Cappaghfinn, Cappagh Road Finglas - Phase 3",69,*N/A,,,,,Q1-2021,
477,SHIP CONSTRUCTION,Fingal,"Church Fields, Phase 2B, Mulhuddart, Dublin 15.",67,*N/A,,,,,Q4-2021,
478,SHIP CONSTRUCTION,Fingal,"Ballough PLace (Leonards Garage), Lusk",10,*N/A,,"Stage 2 approved Q4-2020, full design/tender being prepared.",,,,
479,SHIP CONSTRUCTION,Fingal,"Katie Hunt's Cottage, Church Road, Lusk",5,*N/A,,"Stage 2 approved Q4-2020, full design/tender being prepared.",,,,
480,SHIP CONSTRUCTION,Fingal,"North Street, Swords",8,*N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,
481,SHIP CONSTRUCTION,Fingal,"St Ita's, Portrane Avenue, Protrane, Co. Dublin",12,*N/A,"Stage 1 approved Q2-2022, outline design and costs being prepared.",,,,,
482,CAS CONSTRUCTION RENEWAL,Fingal,"44 Alderwood, Hollystown Dublin 15",5,Marillac Housing Association,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,
483,CAS CONSTRUCTION RENEWAL,Fingal,"Abbeyglen, 47 Dublin Road, Swords",5,Praxis Housing Association,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,
484,CAS CONSTRUCTION,Fingal,Killhedge Lane Dun Emer,31,Túath Housing Association Ltd,,"Stage 2 approved Q4-2021, full design/tender being prepared.",,,,
485,CAS CONSTRUCTION,Fingal,"22 College Street, Baldoyle",4,Cluid Housing Association,,,,,,Q4-2021
486,CAS CONSTRUCTION,Fingal,"63 Hollystown Park, Holystown, Dublin 15",5,Daughters Of Charity Of St Vincent De Paul,,,,,,Q4-2021
487,CALF Turnkey,Fingal,"Bellingsmore, Hollywoodrath, Dublin 15  (Phase 1)*",17,Tuath Housing Association,,,,,,Q2-2021
488,CALF Turnkey,Fingal,"Bellingsmore, Hollywoodrath, Dublin 15  (Phase 2)",21,Tuath Housing Association,,,,,,Q4-2021
489,CALF Turnkey,Fingal,"Beresford, Oakstown, Donabate, Co. Dublin (Phase 1)*",36,Tuath Housing Association,,,,,Q3-2020,
490,CALF Turnkey,Fingal,"Beresford, Oakstown, Donabate, Co. Dublin (Phase 2)*",4,Tuath Housing Association,,,,,Q3-2020,
491,CALF Turnkey,Fingal,"Blackwood Square, Northwood Avenue, Santry Dublin 9 (Phase 1)*",33,Tuath Housing Association,,,,,Q4-2020,
492,CALF Turnkey,Fingal,"Carrs Lane, Malahide Road, Dublin 17 (Phase 1)*",29,Respond,,,,,,Q2-2021
493,CALF Turnkey,Fingal,"Carrs Lane, Malahide Road, Dublin 17 (Phase 2)*",30,Respond,,,,,,Q4-2021
494,CALF Turnkey,Fingal,"Charlestown Centre, Charlestown Place & St., Margarets Road, Dublin 11 (Phase 1)*",90,Respond,,,,,,Q4-2021
495,CALF Turnkey,Fingal,"Charlestown Centre, Charlestown Place & St., Margarets Road, Dublin 11 (Phase 2)*",48,Respond,,,,,,Q4-2021
496,CALF Turnkey,Fingal,"Drynam Heath, Feltrim Road, Swords, Co. Dublin (Phase 2)*",6,Tuath Housing Association,,,,,,Q2-2021
497,CALF Construction,Fingal,"Ladyswell Road & Church Road, Mulhuddart, Dublin 15  (Phase 1)",65,Clúid Housing,,,,,,Q4-2021
498,CALF Turnkey,Fingal,"Lusk Village, Lusk, Co. Dublin, Phase 2  (Phase 1)*",14,Clúid Housing,,,,,,Q4-2021
499,CALF Turnkey,Fingal,"Lusk Village, Lusk, Co. Dublin, Phase 2  (Phase 2)*",4,Clúid Housing,,,,,Q3-2020,
500,CALF Construction,Fingal,"Old Coolock Lane, Santry, Dublin 9 (Phase 1)",28,Circle Voluntary Housing Association Ltd,,,,Q1-2019,,
501,CALF Turnkey,Fingal,"Old Corduff Road, Blanchardstown, Dublin 15 (Phase 2)*",10,Respond,,,,,,Q2-2021
502,CALF Turnkey,Fingal,"Oldtown, Swords, Co Dublin (Phase 1)",30,Respond,,,,Q3-2021,,
503,CALF Turnkey,Fingal,"Oldtown, Swords, Co Dublin (Phase 2)",30,Respond,,,,Q3-2021,,
504,CALF Turnkey,Fingal,"Oldtown, Swords, Co Dublin (Phase 3)",39,Respond,,,,Q3-2021,,
505,CALF Turnkey,Fingal,"Riverwood Square, Porterstown, Dublin 15 (Phase 1)*",24,Clúid Housing,,,,,,Q3-2021
506,CALF Turnkey,Fingal,"Semple Woods, Donabate, Co. Dublin (Phase 2)*",3,Tuath Housing Association,,,,,Q4-2019,
507,CALF Turnkey,Fingal,"St Josephs, Clonsilla, Dublin 15 (Phase 1)*",28,Clúid Housing,,,,,,Q4-2021
508,CALF Turnkey,Fingal,"Station Manor, Station Road, Portmarnock, Co. Dublin (Phase 2)*",8,Circle Voluntary Housing Association Ltd,,,,,,Q4-2021
509,CALF Turnkey,Fingal,"Taylor Hill, Balbriggan, Co. Dublin (Phase 1)*",7,Clúid Housing,,,,,,Q4-2021
510,SHIP CONSTRUCTION TURNKEY,Galway City,"Garraí Caol, (Coast Road Site) Dublin Road",26,*N/A,,,,,Q1-2020,
511,SHIP CONSTRUCTION TURNKEY,Galway City,"Garraí Caol, (Coast Road Site) Dublin Road",22,*N/A,,,,,Q1-2020,
512,SHIP CONSTRUCTION,Galway City,"An Cliathán, Old Monivea Road, Ballybaan Mór",15,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
513,SHIP CONSTRUCTION,Galway City,"Garraí Beag, Monivea Road, Ballybaan More",58,*N/A,,,,,Q1-2020,
514,SHIP CONSTRUCTION,Galway City,"Headford Road, Castlegar",21,*N/A,,"Stage 2 approved Q2-2022, full design/tender being prepared.",,,,
515,SHIP CONSTRUCTION,Galway City,"Keeraun, Ballymoneen Road",63,*N/A,,"Stage 2 approved Q3-2021, full design/tender being prepared.",,,,
516,SHIP CONSTRUCTION,Galway City,"Tirellan Heights, Headford Road",1,*N/A,,"Stage 2 approved Q3-2021, full design/tender being prepared.",,,,
517,SHIP CONSTRUCTION,Galway City,"Merlin Park Lands, Galway City",18,*N/A,,"Stage 2 approved Q2-2021, full design/tender being prepared.",,,,
518,SHIP CONSTRUCTION,Galway City,"1 Munster Avenue, Galway city",4,*N/A,"Stage 1 approved Q2-2021, outline design and costs being prepared.",,,,,
519,SHIP CONSTRUCTION,Galway City,"Clybaun Road, Knocknacarra",28,N/A,"Stage 1 approved Q1-2022, outline design and costs being prepared.",,,,,
520,CAS CONSTRUCTION,Galway City,"Cul Garrai, Rahoon",6,Peter Triest Housing Association Ltd,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,
521,CAS CONSTRUCTION,Galway City,"Doughiska, Galway City",7,Respond,"Stage 1 approved Q2-2019, outline design and costs being prepared.",,,,,
522,CAS CONSTRUCTION,Galway City,"111 Upper Newcastle Road, Galway City",10,Simon Community : North West Simon,,"Stage 2 approved Q2-2021, full design/tender being prepared.",,,,
523,CALF Turnkey,Galway City,"Ballybanemor Road, Ballybrit, Galway (Phase 1)*",52,Respond,,,,,Q2-2021,
524,CALF Turnkey,Galway City,"Ballybanemor Road, Ballybrit, Galway (Phase 2)",49,Respond,,,,,Q2-2021,
525,CALF Turnkey,Galway City,"Briar Hill, Old Monivea Road, Ballybrit, Galway (Phase 1)",7,Co - Operative Housing Ireland Society Limited,,,,,,Q2-2022
526,CALF Turnkey,Galway City,"Creig Ard, Roscam, Galway City  (Phase 2)",10,Clúid Housing,,,,,,Q2-2021
527,CALF Turnkey,Galway City,"Creig Ard, Roscam, Galway City, Co. Galway (Phase 1)*",17,Clúid Housing,,,,,,Q4-2021
528,CALF Turnkey,Galway City,"Cuirt Bhoirne, Roscam, Co Galway (Phase 1)*",12,Clúid Housing,,,,,Q3-2020,
529,CALF Turnkey,Galway City,"Fanan, Letteragh Road, Galway (Phase 1)*",4,Tuath Housing Association,,,,,,Q4-2021
530,CALF Turnkey,Galway City,"Fanan, Letteragh Road, Galway (Phase 2)*",3,Tuath Housing Association,,,,,Q4-2019,
531,CALF Turnkey,Galway City,"Fanan, Letteragh Road, Galway (Phase 3)*",3,Tuath Housing Association,,,,,Q4-2019,
532,CALF Turnkey,Galway City,"Gaelcarrig, Letteragh, Galway City (Phase 1)*",83,Respond,,,,,Q3-2020,
533,CALF Turnkey,Galway City,"Garrai Sheain, Roscam, Galway (Phase 1)",9,Co - Operative Housing Ireland Society Limited,,,,Q2-2022,,
534,CALF Turnkey,Galway City,"Glenn Na Mona, Ballymoneen Road, Kncoknacarra, Galway (Phase 1)*",16,Clúid Housing,,,,,Q1-2021,
535,CALF Turnkey,Galway City,"Leana Mor, Cappagh Road, Galway (Phase 1)*",14,Respond,,,,,Q2-2021,
536,CALF Turnkey,Galway City,"Leana Mor, Cappagh Road, Galway (Phase 2)*",28,Respond,,,,,Q2-2021,
537,CALF Turnkey,Galway City,"Letteragh Road, Rahoon, Galway City (Phase 1)*",10,Clúid Housing,,,,,,Q3-2021
538,CALF Turnkey,Galway City,"Letteragh Road, Rahoon, Galway City (Phase 2)",13,Clúid Housing,,,,,,Q4-2021
539,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Galway City,Ballyburke (Phase 1),56,*N/A,,,,,,Q2-2021
540,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Galway City,Ballyburke (Phase 2),18,*N/A,,,,,,Q3-2021
541,SHIP CONSTRUCTION TURNKEY,Galway County,"Kylebroughlan, Moycullen ",9,*N/A,,,,,,Q1-2021
542,SHIP CONSTRUCTION TURNKEY,Galway County,"Kylebroughlan, Moycullen ",10,*N/A,,,,,,Q1-2021
543,SHIP CONSTRUCTION TURNKEY,Galway County,"Garraí Mhic Aodha, Tubber Road, Gort",9,*N/A,,,,,,Q4-2021
544,SHIP CONSTRUCTION TURNKEY,Galway County,"Tullahill, Loughrea",9,*N/A,,,,,,Q4-2021
545,SHIP CONSTRUCTION TURNKEY,Galway County,"Limehill, Dunlo, Ballinasloe (Corrán Eiscir Riada)",17,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,
546,SHIP CONSTRUCTION TURNKEY,Galway County,"Garraí Mhic Aodha, Tubber Road, Gort",18,*N/A,,,,,,Q4-2021
547,SHIP CONSTRUCTION TURNKEY,Galway County,"Cullairbaun, Athenry",14,*N/A,,,,,Q4-2021,
548,SHIP CONSTRUCTION TURNKEY,Galway County,"Limehill, Dunlo, Ballinasloe (Corrán Eiscir Riada)",15,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,
549,SHIP CONSTRUCTION TURNKEY,Galway County,"Garraí Glas, Ballydavid South, Athenry",7,N/A,,,,,Q2-2021,
550,SHIP CONSTRUCTION TURNKEY,Galway County,"Cullairbaun, Athenry",13,*N/A,,,,,Q4-2021,
551,SHIP CONSTRUCTION TURNKEY,Galway County,"Circular Road & Dublin Road, Tuam",10,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
552,SHIP CONSTRUCTION TURNKEY,Galway County,"Cullairbaun, Athenry",15,*N/A,,,,,Q4-2021,
553,SHIP CONSTRUCTION TURNKEY,Galway County,"Cullairbaun, Athenry",16,*N/A,,,,,Q4-2021,
554,SHIP CONSTRUCTION TURNKEY,Galway County,"Kilgarve, Ballinasloe",33,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
555,SHIP CONSTRUCTION SINGLE STAGE,Galway County,"Claremount, Oughterard",4,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
556,SHIP CONSTRUCTION SINGLE STAGE,Galway County,"Corralough, Williamstown (SRD)",1,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,
557,SHIP CONSTRUCTION RENEWAL,Galway County,"Dunlo Hill, Ballinasloe",11,*N/A,"Stage 1 approved Q3-2021, outline design and costs being prepared.",,,,,
558,SHIP CONSTRUCTION,Galway County,"Weir Road, Tuam",30,*N/A,,"Stage 2 approved Q1-2022, full design/tender being prepared.",,,,
559,SHIP CONSTRUCTION,Galway County,"Gort na gCloch, Hospital Road, Clifden",18,*N/A,,,,,Q4-2020,
560,SHIP CONSTRUCTION,Galway County,"Bridge Court, Ahascragh, Ballinasloe",18,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
561,SHIP CONSTRUCTION,Galway County,"Caisleán Raithlín, Ardrahan",10,*N/A,,"Stage 2 approved Q2-2019, full design/tender being prepared.",,,,
562,SHIP CONSTRUCTION,Galway County,"Barrack Street, Loughrea",5,*N/A,,,,,,Q3-2021
563,SHIP CONSTRUCTION,Galway County,"Garraí Ghuaire, Cartron, Kinvara",10,*N/A,,,,,Q3-2021,
564,SHIP CONSTRUCTION,Galway County,"Fana Bhuí, Tuam",16,*N/A,,,,,,Q4-2021
565,SHIP CONSTRUCTION,Galway County,"Cnoc na Carraige, Roundstone",6,*N/A,,,,,,Q1-2021
566,SHIP CONSTRUCTION,Galway County,"Ballyglass, Ardrahan (SRD)",1,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
567,SHIP CONSTRUCTION,Galway County,"Woodpark, Portumna (SRD)",1,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
568,SHIP CONSTRUCTION,Galway County,"Carrowmore West, Clontuskert, Ballinasloe (SRD)",1,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
569,SHIP CONSTRUCTION,Galway County,"Woodfield, Dunmore (SRD)",1,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
570,SHIP CONSTRUCTION,Galway County,"Knockaloura West, Brownsgrove, Tuam (SRD)",1,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
571,SHIP CONSTRUCTION,Galway County,"Creggaturlough, Craughwell (SRD)",1,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
572,SHIP CONSTRUCTION,Galway County,"Gort na gCloch, Hospital Road, Clifden",8,*N/A,,,,,Q4-2020,
573,SHIP CONSTRUCTION,Galway County,"Fana Bhuí, Tuam",16,*N/A,,,,,Q4-2020,
574,SHIP CONSTRUCTION,Galway County,"Fana Bhuí, Tuam",16,*N/A,,,,,Q4-2020,
575,SHIP CONSTRUCTION,Galway County,Ballymoe,8,*N/A,"Stage 1 approved Q2-2021, outline design and costs being prepared.",,,,,
576,SHIP CONSTRUCTION,Galway County,"Droim na Gaoithe, Baile Chláir (Claregalway)",45,*N/A,"Stage 1 approved Q3-2021, outline design and costs being prepared.",,,,,
577,SHIP CONSTRUCTION,Galway County,"Cosmona, Loughrea",40,*N/A,"Stage 1 approved Q3-2021, outline design and costs being prepared.",,,,,
